lon lat veast_eu vnorth_eu seast snorth covassumed0 types names studies
101.57300 24.98500 1.75480 -10.45975 1.10750 0.80275 0 GNSS h136 gan22(Cmonoc_I)_hao19(hao19)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
99.83400 23.04500 0.10894 -7.65091 1.11470 1.00883 0 GNSS h222 gan22(Cmonoc_I)_hao19(hao19)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
99.45400 22.73800 -0.38856 -6.52373 0.83394 0.93307 0 GNSS h225 gan22(Cmonoc_I)_hao19(hao19)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
99.26000 23.13500 -2.75005 -4.55246 0.73109 0.69547 0 GNSS h223 gan22(Cmonoc_I)_hao19(hao19)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
114.68400 36.43900 4.03501 -1.74602 0.66019 0.60719 0 GNSS c030 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
114.65000 38.33200 3.15523 -1.90044 0.50817 0.54306 0 GNSS c006 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
114.35650 38.02800 3.31479 -2.44890 0.66602 0.71590 0 GNSS c016 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
113.86400 34.02800 4.55375 -2.33656 0.55688 0.62356 0 GNSS c053 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
113.73900 39.29300 3.68883 -1.59475 0.59126 0.66425 0 GNSS a038 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
113.31200 32.75100 5.22123 -3.07198 0.56674 0.60469 0 GNSS c059 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
113.21200 35.26800 4.41490 -2.35483 0.41744 0.45834 0 GNSS c047 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
112.40500 34.70300 5.09297 -2.24237 0.46565 0.55010 0 GNSS c052 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
111.47500 33.28000 4.54238 -2.20094 0.64334 0.49728 0 GNSS c060 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
111.20600 40.26600 3.03210 -0.63712 0.45217 0.91274 0 GNSS d009 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
111.15100 34.75400 5.70818 -1.92489 0.43768 0.56138 0 GNSS d037 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
109.97378 41.76472 1.95312 -1.26229 0.47250 0.46613 0 GNSS d040_nc04 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
106.83100 22.10700 5.20313 -2.44883 0.81543 0.70450 0 GNSS f079_jb26 gan22(Cmonoc_I)_hao19(hao19)_kreemer14(Liang_JGR_2013)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
106.66500 26.41500 5.50488 -2.30998 0.65601 0.68278 0 GNSS f073_jb25 gan22(Cmonoc_I)_hao19(hao19)_kreemer14(Liang_JGR_2013)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
103.86500 30.69200 6.31041 -2.56653 1.06095 1.25039 0 GNSS h059 gan22(Cmonoc_I)_hao19(hao19)_kreemer14(Liang_JGR_2013)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
102.49600 23.71900 2.99238 -6.92790 1.42638 1.07293 0 GNSS h156 gan22(Cmonoc_I)_hao19(hao19)_kreemer14(Liang_JGR_2013)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
99.53555 25.46341 -1.23179 -10.88094 1.35457 1.37116 0 GNSS h205_hb18 gan22(Cmonoc_I)_hao19(hao19)_kreemer14(Liang_JGR_2013)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
80.34100 34.43800 -1.26466 17.95240 1.28772 1.41968 0 GNSS j315 dzwang20(dzwang20)_kreemer14(Liang_JGR_2013)_li18(wang17)_mohanty24(wangshen20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
95.25700 32.89400 23.72259 5.70575 0.83697 0.84082 0 GNSS j008 hao19(hao19)_kreemer14(Liang_JGR_2013)_kreemer14(Shen_PersComm_2013)_li18(wang17)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
81.34500 41.60100 2.67542 8.18962 1.44088 1.04186 0 GNSS i059 dzwang20(dzwang20)_hao19(hao19)_kreemer14(Shen_PersComm_2013)_li18(wang17)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
81.19000 32.38200 1.97503 18.83883 0.53372 0.52531 0 GNSS j044 hao19(hao19)_kreemer14(Liang_JGR_2013)_kreemer14(Shen_PersComm_2013)_li18(wang17)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
80.23900 41.14300 2.15652 15.28952 1.18360 1.06288 0 GNSS i061 dzwang20(dzwang20)_hao19(hao19)_kreemer14(Shen_PersComm_2013)_li18(wang17)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
75.76800 37.84000 -1.93204 21.34752 0.79653 0.56416 0 GNSS i407 dzwang20(dzwang20)_dzwang24(dzwang24)_li18(wang17)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
41.05681 38.95880 -7.03523 12.91945 0.91714 0.99232 0 GNSS solh aktug16(aktug16)_ergintav23(ergintav23)_khorrami19(Reilinger_JGR_2006)_kreemer14(Aktug_JGeodyn_2012a)_kreemer14(Djamour_EPSL_2011)_kreemer14(Reilinger_GJI_2011)_kurt22(kurt22)
41.79262 38.75320 -5.54548 12.97277 0.53888 0.86535 0 GNSS koku_krkt aktug16(aktug16)_ergintav23(ergintav23)_khorrami19(Reilinger_JGR_2006)_kreemer14(Djamour_EPSL_2011)_kreemer14(Reilinger_GJI_2011)_kurt22(kurt22)
111.54400 36.12900 5.19278 -2.80363 0.63186 0.67595 0 GNSS d029 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
82.92800 44.62300 0.91155 6.16141 0.42738 0.46799 0 GNSS i042 hao19(hao19)_kreemer14(Shen_PersComm_2013)_li18(wang17)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
81.03200 44.96800 0.08963 4.03244 0.44574 0.46095 0 GNSS i040 hao19(hao19)_kreemer14(Shen_PersComm_2013)_li18(wang17)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
77.24800 38.41200 -2.72251 20.68827 1.04950 1.05041 0 GNSS shac dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_kreemer14(Zubovich_Tectonics_2010)_li18(wang17)_rui19(Zubovich_Tectonics_2010)_wang17(wang17)_wangshen20(wangshen20)_zhou16(Zubovich_Tectonics_2010)
76.97792 40.84425 -0.49926 12.06277 0.57473 0.83542 0 GNSS qiqi dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_kreemer14(Zubovich_Tectonics_2010)_li18(wang17)_li22(li22)_rui19(Zubovich_Tectonics_2010)_wang17(wang17)_wangshen20(wangshen20)
78.96607 39.87701 0.07817 16.96659 0.63764 0.76728 0 GNSS akta dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_kreemer14(Zubovich_Tectonics_2010)_li18(wang17)_li22(li22)_rui19(Zubovich_Tectonics_2010)_wang17(wang17)_wangshen20(wangshen20)
76.46300 38.65600 -1.46496 20.31921 0.61175 0.62703 0 GNSS kizi dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_kreemer14(Zubovich_Tectonics_2010)_li18(wang17)_rui19(Zubovich_Tectonics_2010)_wang17(wang17)_wangshen20(wangshen20)_zhou16(Zubovich_Tectonics_2010)
75.47900 38.85300 0.24780 22.00514 0.61258 0.60669 0 GNSS gaze dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_kreemer14(Zubovich_Tectonics_2010)_li18(wang17)_rui19(Zubovich_Tectonics_2010)_wang17(wang17)_wangshen20(wangshen20)_zhou16(Zubovich_Tectonics_2010)
85.57500 38.06500 -1.00236 11.58011 0.72080 0.68413 0 GNSS i405 dzwang20(dzwang20)_dzwang24(dzwang24)_li18(wang17)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
113.05700 39.81900 3.01597 -1.34276 0.43341 0.48639 0 GNSS a030 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
112.96900 38.44300 3.19705 -2.01569 0.50276 0.53738 0 GNSS a035 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
99.17000 23.62000 -2.66262 -5.36920 1.39405 1.25369 0 GNSS h221 hao19(hao19)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
84.85200 45.63000 1.68634 5.69523 0.48748 0.69732 0 GNSS i039 hao19(hao19)_kreemer14(Shen_PersComm_2013)_li18(wang17)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
43.95095 40.10822 2.17959 6.97338 0.41969 0.57200 0 GNSS sa10_sa14 ergintav23(ergintav23)_kadirov14(kadirov14)_khorrami19(Reilinger_JGR_2006)_kreemer14(Karakhanyan_Tectonophysics_2013)
98.87300 27.29700 5.69656 -9.79748 1.36718 0.98974 0 GNSS h314 gan22(Cmonoc_II)_hao19(hao19)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
116.60500 36.94600 3.61642 -2.31781 0.46317 0.43062 0 GNSS c026 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
116.22300 36.33900 2.73411 -1.97018 0.52996 0.63132 0 GNSS c027 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
116.14400 39.88300 3.27841 -0.34964 0.79037 0.73406 0 GNSS a155 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
115.41800 36.47700 4.56301 -2.52888 0.54520 0.52245 0 GNSS c028 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
115.39400 37.33000 4.63125 -1.54414 0.55402 0.54095 0 GNSS c022 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
113.34800 31.69400 4.65179 -2.43594 0.59726 0.57025 0 GNSS c065 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
110.01300 39.81600 2.52366 -1.66791 0.63520 0.58420 0 GNSS d054 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
108.50700 41.56800 1.88513 -0.04304 0.53753 0.64622 0 GNSS d041 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
104.27200 23.35300 5.15281 -3.62607 0.69222 0.98274 0 GNSS f081 gan22(Cmonoc_I)_hao19(hao19)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
97.94300 24.71200 -5.70292 -3.47256 0.81583 0.92039 0 GNSS h213 gan22(Cmonoc_I)_hao19(hao19)_kreemer14(Liang_JGR_2013)_kreemer14(Shen_PersComm_2013)_wang22(wang22)_wangshen20(wangshen20)_zheng17(zheng17)
76.30700 31.53800 5.02745 31.77868 0.87199 0.73530 0 GNSS una0_unan kreemer14(Banerjee_GRL_2008)_rui19(Banerjee_GRL_2008)_wang17(wang17)_zhang24(wang21)
86.33300 37.21300 4.54355 13.78496 1.03176 0.86924 0 GNSS at03_at3a_at3x dehuawang24(dehuawang24)_dzwang20(zheng17)_kreemer14(He_GRL_2013)_li18(li18)_rui19(He_GRL_2013)_wangshen20(wangshen20)
97.77800 29.72700 13.91973 -4.98979 0.98750 0.97138 0 GNSS zug1 gan22(vernant14)_kreemer14(Banerjee_GRL_2008)_kreemer14(Sol_Geology_2007)_rui19(Banerjee_GRL_2008)_wang17(wang17)_wang22(kreemer14)_zhang24(wang21)
118.59600 24.77500 6.13875 -2.22983 0.96435 0.97958 0 GNSS f020_qz03 hao19(hao19)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
