lon lat veast_eu vnorth_eu seast snorth covassumed0 types names studies
76.46300 38.65600 27.50145 21.62103 0.61184 0.62849 0 GNSS kizi dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_kreemer14(Zubovich_Tectonics_2010)_li18(wang17)_rui19(Zubovich_Tectonics_2010)_wang17(wang17)_wangshen20(wangshen20)_zhou16(Zubovich_Tectonics_2010)
75.47900 38.85300 29.19167 23.59079 0.61240 0.60569 0 GNSS gaze dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_kreemer14(Zubovich_Tectonics_2010)_li18(wang17)_rui19(Zubovich_Tectonics_2010)_wang17(wang17)_wangshen20(wangshen20)_zhou16(Zubovich_Tectonics_2010)
85.57500 38.06500 27.97661 10.24693 0.72166 0.68454 0 GNSS i405 dzwang20(dzwang20)_dzwang24(dzwang24)_li18(wang17)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
113.05700 39.81900 30.35419 -10.17867 0.43363 0.48576 0 GNSS a030 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
112.96900 38.44300 30.63849 -10.83127 0.50335 0.53686 0 GNSS a035 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
99.17000 23.62000 25.48446 -10.56372 1.39506 1.25560 0 GNSS h221 hao19(hao19)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
84.85200 45.63000 30.22628 4.56826 0.48685 0.69640 0 GNSS i039 hao19(hao19)_kreemer14(Shen_PersComm_2013)_li18(wang17)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
43.95095 40.10822 28.97787 16.99699 0.41985 0.57212 0 GNSS sa10_sa14 ergintav23(ergintav23)_kadirov14(kadirov14)_khorrami19(Reilinger_JGR_2006)_kreemer14(Karakhanyan_Tectonophysics_2013)
98.87300 27.29700 34.12043 -14.90957 1.36569 0.98915 0 GNSS h314 gan22(Cmonoc_II)_hao19(hao19)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
116.60500 36.94600 30.79509 -12.01218 0.46308 0.42988 0 GNSS c026 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
116.22300 36.33900 29.98417 -11.57393 0.53100 0.63077 0 GNSS c027 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
116.14400 39.88300 30.29781 -9.93492 0.78748 0.73301 0 GNSS a155 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
115.41800 36.47700 31.88484 -11.93950 0.54453 0.52181 0 GNSS c028 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
115.39400 37.33000 31.90727 -10.95043 0.55442 0.53995 0 GNSS c022 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
113.34800 31.69400 32.30041 -11.34500 0.59878 0.56976 0 GNSS c065 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
110.01300 39.81600 30.14825 -9.74361 0.63572 0.58405 0 GNSS d054 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
108.50700 41.56800 29.51608 -7.73418 0.53728 0.64509 0 GNSS d041 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
104.27200 23.35300 33.06666 -10.20682 0.69269 0.98371 0 GNSS f081 gan22(Cmonoc_I)_hao19(hao19)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
97.94300 24.71200 22.57939 -8.32887 0.81628 0.91956 0 GNSS h213 gan22(Cmonoc_I)_hao19(hao19)_kreemer14(Liang_JGR_2013)_kreemer14(Shen_PersComm_2013)_wang22(wang22)_wangshen20(wangshen20)_zheng17(zheng17)
76.30700 31.53800 33.96803 33.13862 0.87204 0.73379 0 GNSS una0_unan kreemer14(Banerjee_GRL_2008)_rui19(Banerjee_GRL_2008)_wang17(wang17)_zhang24(wang21)
86.33300 37.21300 33.53622 12.22349 1.03522 0.86810 0 GNSS at03_at3a_at3x dehuawang24(dehuawang24)_dzwang20(zheng17)_kreemer14(He_GRL_2013)_li18(li18)_rui19(He_GRL_2013)_wangshen20(wangshen20)
97.77800 29.72700 42.47377 -9.80257 0.98720 0.97530 0 GNSS zug1 gan22(vernant14)_kreemer14(Banerjee_GRL_2008)_kreemer14(Sol_Geology_2007)_rui19(Banerjee_GRL_2008)_wang17(wang17)_wang22(kreemer14)_zhang24(wang21)
118.59600 24.77500 33.28502 -12.38332 0.96371 0.98097 0 GNSS f020_qz03 hao19(hao19)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
110.68600 35.59800 32.63391 -10.14870 0.56971 0.59986 0 GNSS d033 hao19(hao19)_hao21(hao21)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_zhao17(zhao17)_zheng17(zheng17)
108.97300 35.66500 32.37573 -9.64663 1.08563 0.79489 0 GNSS d377 hao21(hao21)_kreemer14(Liang_JGR_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
93.14600 29.94000 49.55911 9.37740 0.83483 0.75617 0 GNSS j022 hao19(hao19)_kreemer14(Liang_JGR_2013)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
86.96700 28.39200 37.77086 24.23853 0.50607 0.49080 0 GNSS j031_jb54 hao19(hao19)_kreemer14(Liang_JGR_2013)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
82.51200 43.78800 30.04692 6.04508 0.62927 1.41483 0 GNSS i046 hao19(hao19)_kreemer14(Shen_PersComm_2013)_li18(wang17)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
78.68000 29.84800 37.57107 34.00384 1.85398 1.46644 0 GNSS lan2_lans jade14(jade14)_kreemer14(Banerjee_GRL_2008)_kreemer14(Paul_GRL_2001)_wang17(wang17)_zhang24(wang21)
78.15500 30.34200 34.66538 33.66175 1.07497 0.82258 0 GNSS dhau_dhou kreemer14(Banerjee_GRL_2008)_rui19(Banerjee_GRL_2008)_wang17(wang17)_zhang24(wang21)
103.22200 22.77100 32.88033 -9.23739 0.97525 0.83773 0 GNSS h173 hao19(hao19)_kreemer14(Liang_JGR_2013)_kreemer14(Shen_PersComm_2013)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)
