lon lat veast_eu vnorth_eu vup_itrf14 seast snorth sup covassumed0 covassumed0 covassumed0 sta
9.68979 45.04318 0.01391 0.98240 -0.05536 0.48766 0.61693 1.13152 0 0 0 pia1
11.35548 44.50246 0.90599 3.25968 -0.95761 0.66995 0.73167 1.80692 0 0 0 blgn
81.71416 28.65601 6.06378 33.57675 0.11719 0.80413 0.44013 1.65112 0 0 0 bmcl
82.81799 28.98348 5.67004 25.41931 3.24687 0.65315 0.59298 1.37498 0 0 0 dlpa
80.50089 29.73363 3.15585 29.68893 2.45892 1.00716 1.59211 1.56845 0 0 0 drcl
83.74315 28.80549 6.73948 26.53160 2.99807 0.68025 0.71391 0.92148 0 0 0 jmsm
89.63421 27.47258 12.64431 30.47128 -2.18473 0.92330 1.63606 1.67554 0 0 0 timp
103.17694 26.10741 6.30866 -7.02009 0.87628 0.97058 0.83455 1.26642 0 0 0 yndc
101.04909 22.74095 1.15648 -7.67940 -1.90839 1.02390 1.06581 1.38378 0 0 0 ynsm
101.67595 39.20955 3.22324 0.61340 0.44003 1.03865 0.62420 0.41135 0 0 0 nmay
102.43700 28.30052 9.58463 -8.40820 -0.61508 1.19947 0.98777 1.37731 0 0 0 scxd
101.77352 36.60015 9.94546 2.13182 0.01848 0.59751 0.57162 1.28272 0 0 0 xnin
35.39220 31.59337 -3.35349 8.39769 3.17025 0.28384 0.21532 0.38623 0 0 0 drag
51.33410 35.69728 -1.15386 11.53673 1.30444 0.50719 0.61332 0.22663 0 0 0 tehn
31.97284 46.97279 -0.65186 -0.31966 0.27906 0.22645 0.22025 0.39217 0 0 0 mikl
9.83966 44.07329 0.12870 0.55582 -0.23242 0.20685 0.21815 0.55792 0 0 0 lasp
7.92722 45.07393 0.42108 -0.03675 -0.15685 0.20253 0.17371 0.62519 0 0 0 monc
19.93554 39.74636 -3.47237 -0.18383 -0.57867 0.38631 0.37231 1.26197 0 0 0 kasi
