lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
9.68992 45.04318 0.02546 1.08720 -0.29512 0.07879 0.13834 0.35081 0 0 0 pia1 GNSS
99.81385 39.41000 2.50783 1.61304 0.56231 0.26370 0.20720 0.30108 0 0 0 g140 GNSS
92.43800 34.20927 20.96871 10.60975 -0.01593 0.26420 0.21244 0.60499 0 0 0 qhtt GNSS
91.10046 30.47977 17.64193 17.32012 0.34972 0.20354 0.39571 0.37670 0 0 0 xzdx GNSS
103.17350 26.10650 6.33167 -6.96793 0.84860 0.26818 0.29896 0.66142 0 0 0 yndc GNSS
101.77400 36.60100 9.46853 2.21337 -0.70630 0.28073 0.14894 0.51040 0 0 0 xnin GNSS
82.97693 41.72333 2.75249 11.25987 -1.74926 0.30469 0.37445 0.46700 0 0 0 xjkc GNSS
90.25600 42.89350 3.31960 6.74956 -0.79549 0.17027 0.35916 0.28215 0 0 0 xjss GNSS
23.39473 42.55609 0.21755 -2.12236 -0.02298 0.05846 0.07904 0.46479 0 0 0 sofi GNSS
20.67337 38.78129 -3.04144 -10.17817 -0.48989 0.31942 0.28263 0.29943 0 0 0 span GNSS
23.31774 38.31652 -15.57903 -22.23903 1.52273 0.16427 0.20791 0.80733 0 0 0 thiv GNSS
29.45070 40.78673 -5.19588 -1.31916 -0.80012 0.19106 0.11641 0.13836 0 0 0 tubi GNSS
41.56507 43.78839 -0.68140 1.01699 1.53115 0.17718 0.10368 0.31335 0 0 0 zeck GNSS
34.54293 49.60261 -1.84197 0.26754 -0.02637 0.04510 0.03287 0.10303 0 0 0 polv GNSS
79.21000 41.20200 1.21625 14.61848 0.33501 0.14423 0.23766 0.67214 0 0 0 wush GNSS
7.63971 45.01544 0.16292 -0.20567 0.15314 0.08059 0.04316 0.13487 0 0 0 ieng GNSS
3.86519 43.63889 0.05286 0.01740 -0.16602 0.03761 0.02201 0.09326 0 0 0 mtp2 GNSS
14.00222 42.65790 1.25829 3.16742 -0.54826 0.07719 0.08762 0.23708 0 0 0 rsto GNSS
11.21621 43.79385 0.05937 1.98759 -0.10220 0.23387 0.17857 0.33562 0 0 0 fipr GNSS
12.57820 43.35005 0.18612 2.56119 -0.04358 0.27285 0.28626 0.63933 0 0 0 gub2 GNSS
12.40808 42.78309 -1.12870 1.75923 0.10098 0.19171 0.14842 0.37355 0 0 0 reto GNSS
10.99822 45.44133 0.06727 0.79815 -0.64241 0.09517 0.15900 0.39486 0 0 0 vero GNSS
115.89248 39.60881 3.33883 -1.16460 1.95391 0.26562 0.19732 0.91845 0 0 0 bjfs GNSS
89.63452 27.47251 12.61915 30.42847 -2.45318 0.29711 0.37699 0.73496 0 0 0 timp GNSS
74.75109 42.99850 -1.33281 0.85453 -0.21072 0.23566 0.23137 0.94906 0 0 0 chum GNSS
116.22536 40.24966 2.49337 -1.73556 1.20892 0.21414 0.21764 0.42524 0 0 0 bjsh GNSS
101.74650 26.50350 7.21522 -12.56627 -0.55008 0.49253 0.21975 0.48678 0 0 0 scpz GNSS
99.70592 27.82775 6.19837 -14.16403 -0.64597 0.23618 0.32268 1.10291 0 0 0 ynzd GNSS
106.68188 33.11725 5.16098 -2.81734 -0.55216 0.16895 0.20554 0.44096 0 0 0 snmx GNSS
88.13500 47.85526 0.56318 5.54828 0.73019 0.29355 0.32656 0.66870 0 0 0 xjal GNSS
13.35451 42.36779 -0.56301 1.74955 -0.35453 0.14728 0.14553 0.19852 0 0 0 aqra GNSS
86.71259 27.81373 8.81753 26.41189 3.42017 0.39462 0.41564 0.85375 0 0 0 sybc GNSS
23.03362 38.75506 -10.21272 -19.19825 -0.20771 0.15830 0.26367 0.30247 0 0 0 ark2 GNSS
25.42722 36.42445 -18.65223 -29.90725 2.51729 0.32931 0.14537 0.82156 0 0 0 nomi GNSS
23.72807 39.12154 -7.37347 -21.07565 -0.81131 0.45923 0.22074 0.27970 0 0 0 skop GNSS
18.10964 42.65003 0.40670 3.45398 -1.25226 0.21336 0.16224 0.18754 0 0 0 dub2 GNSS
5.68565 50.75813 -0.44068 -0.06845 0.97707 0.03121 0.04916 0.29515 0 0 0 eijs GNSS
18.46710 40.07214 0.60451 3.87523 -0.33256 0.07779 0.08492 0.11491 0 0 0 scte GNSS
10.94900 44.62900 0.63892 3.21385 -2.78527 0.10676 0.08405 0.40760 0 0 0 mode GNSS
5.48370 43.94100 -0.19173 0.04489 -0.05545 0.10694 0.07320 0.14684 0 0 0 rst2 GNSS
26.68848 39.31139 -20.04882 -12.27823 0.19750 0.13863 0.09641 1.18832 0 0 0 ayka GNSS
7.66070 44.64764 0.01720 -0.06750 -0.08983 0.09088 0.10812 0.13540 0 0 0 sav0 GNSS
13.25300 46.03739 -0.52830 2.13752 -0.41520 0.04494 0.08660 0.71418 0 0 0 udi1 GNSS
105.80257 35.96261 6.73811 -3.32664 0.92627 0.21104 0.26973 0.51294 0 0 0 g018 GNSS
81.71400 28.65582 6.56110 33.56629 0.16547 0.19968 0.18808 0.51220 0 0 0 bmcl GNSS
82.81790 28.98367 5.77112 25.39945 3.29379 0.15260 0.24541 0.45113 0 0 0 dlpa GNSS
80.50093 29.73381 3.28305 29.71504 2.75184 0.21534 0.44948 0.94803 0 0 0 drcl GNSS
82.19260 29.27782 4.57156 26.35511 2.19560 0.17409 0.23060 0.34544 0 0 0 jmla GNSS
86.17163 37.58713 1.50920 12.71203 -0.65335 0.27660 0.26197 1.08690 0 0 0 i408 GNSS
105.66877 38.81013 3.56261 -0.20228 -0.11354 0.27120 0.14858 0.30519 0 0 0 nmaz GNSS
100.00836 31.61655 18.66652 -4.15183 -0.53754 0.47415 0.28458 0.46215 0 0 0 scgz GNSS
102.43700 28.30000 9.72701 -8.32100 -0.38134 0.20938 0.22738 0.79694 0 0 0 scxd GNSS
107.43700 37.77900 4.00964 -2.29316 -0.01043 0.13048 0.27689 0.64505 0 0 0 yanc GNSS
99.39800 23.54100 -2.33490 -5.94835 -0.27228 0.33777 0.18714 0.86184 0 0 0 yngm GNSS
97.84700 24.00297 -4.62201 -2.82190 -1.35004 0.42021 0.27313 0.53369 0 0 0 ynrl GNSS
101.04918 22.74095 0.86868 -7.45803 -2.15837 0.24641 0.35641 0.72597 0 0 0 ynsm GNSS
87.17715 43.47105 3.28253 7.23424 1.02687 0.21640 0.11100 0.30286 0 0 0 guao GNSS
85.53000 38.11900 -0.65349 10.53029 -0.85227 0.19508 0.24201 0.47765 0 0 0 xjqm GNSS
13.69651 42.65673 1.23133 3.39500 -0.78494 0.20165 0.16603 0.73030 0 0 0 tera GNSS
20.79400 41.12730 0.57454 -2.68193 0.46024 0.06100 0.14523 0.12303 0 0 0 orid GNSS
21.78699 38.28454 -16.16283 -20.65770 -0.56848 0.19076 0.24887 0.69445 0 0 0 012a GNSS
19.94550 40.70800 -1.11671 -0.11591 -0.13796 0.16862 0.23761 0.27587 0 0 0 bera GNSS
28.98755 40.86751 -3.65184 -0.15537 1.58253 0.34561 0.22232 0.54537 0 0 0 ysst GNSS
2.33494 48.83592 -0.01866 -0.18851 0.10262 0.05764 0.07573 0.15783 0 0 0 opmt GNSS
13.72970 51.02981 -0.25207 0.08233 0.43234 0.07061 0.05193 0.19945 0 0 0 dres GNSS
3.46822 43.30015 -0.00674 0.03086 -0.39103 0.11405 0.07054 0.30903 0 0 0 agde GNSS
16.21134 39.25350 0.45821 3.73712 -0.00341 0.10736 0.10969 0.19150 0 0 0 car1 GNSS
36.23826 50.00594 -0.59581 0.08570 0.95301 0.12660 0.08549 0.33091 0 0 0 khar GNSS
19.92048 50.06610 -0.35272 -0.04994 0.01175 0.03216 0.04308 0.12977 0 0 0 kra1 GNSS
12.37410 51.35400 -0.23751 -0.19171 -0.21239 0.07133 0.03455 0.22755 0 0 0 leij GNSS
13.11040 47.80340 0.03791 0.63296 0.33167 0.08045 0.06206 0.31990 0 0 0 sbg2 GNSS
12.35580 43.11910 -0.17011 1.74428 -0.43042 0.13277 0.09478 0.32885 0 0 0 unpg GNSS
13.42360 40.79518 -0.81416 1.42666 -0.56047 0.09639 0.28089 0.21869 0 0 0 vent GNSS
17.06200 51.11326 -0.52673 0.07484 0.07629 0.05167 0.06450 0.15346 0 0 0 wroc GNSS
