lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 types names studies
15.49348 47.06710 0.50568 0.65526 -0.13454 0.10740 0.13647 0.37129 0 0 0 GNSS gr12_grab_graz bitharis24(bitharis24)_castroperdomo22(castroperdomo22)_eposuga(eposuga)_eurefedv(eurefedv)_gaoran_lss(gaoran_lss)_gaoran_med(gaoran_med)_measures(measures)_ozdemir19(ozdemir19)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_rudenko13(rudenko13)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)
23.93248 38.07856 -16.34043 -25.49269 0.17200 0.28742 0.21773 0.50700 0 0 0 GNSS dioc_dion_diop_dyng bitharis24(bitharis24)_briole21(briole21)_dagostino20(dagostino20)_ergintav23(ergintav23)_eurefedv(eurefedv)_floyd23(floyd23)_hamiel21(hamiel21)_measures(measures)_pinavaldes22(pinavaldes22)_serpelloni13(serpelloni13)_serpelloni22(serpelloni22)
4.38757 51.98609 -0.20508 -0.28119 -0.46839 0.11264 0.12659 0.22888 0 0 0 GNSS delf_delm_dlf1_dlft dagostino20(dagostino20)_eposuga(eposuga)_eurefedv(eurefedv)_measures(measures)_pinavaldes22(pinavaldes22)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)_vardic21(vardic21)
114.35727 30.53166 5.02741 -2.14003 0.50264 0.39437 0.33206 0.78536 0 0 0 GNSS wuhn ULR5(ULR5)_dzwang22(dzwang22)_jade20(jade20)_measures(measures)_pan21_vert(pan21_vert)_pappachen21(pappachen21)_rudenko13(rudenko13)_rui19(rui19)_serpelloni22(serpelloni22)_steckler16(steckler16)_vardic21(vardic21)_wang17(wang17)_wangshen20(wangshen20)_zheng17(zheng17)_zhou16(zhou16)
11.88743 45.41133 -0.06557 1.64992 -0.65734 0.10975 0.24990 0.49588 0 0 0 GNSS pado_pd01_upad eposuga(eposuga)_eurefedv(eurefedv)_mantovani15(mantovani15)_measures(measures)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)
77.01690 43.17873 -0.63368 3.23700 0.47121 0.27232 0.44196 0.25879 0 0 0 GNSS sele ULR5(ULR5)_dzwang20(dzwang20)_jade14(jade14)_jade17(jade17)_jade20(jade20)_measures(measures)_pan19(pan19)_pan21_vert(pan21_vert)_pan22_vert(pan22_vert)_serpelloni22(serpelloni22)_vilayev18(vilayev18)_wang17(wang17)_wangshen20(wangshen20)
0.33591 50.86734 -0.22544 0.18250 -0.09671 0.07945 0.07338 0.23171 0 0 0 GNSS hero_hers_hert demets20(demets20)_eposuga(eposuga)_eurefedv(eurefedv)_measures(measures)_pinavaldes22(pinavaldes22)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)_vardic21(vardic21)
11.12205 42.42803 -0.96245 0.63684 -0.23158 0.17383 0.13866 0.48523 0 0 0 GNSS gr01_maon_psst_pst0_pste eposuga(eposuga)_eurefedv(eurefedv)_mantovani15(mantovani15)_pinavaldes22(pinavaldes22)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)
12.10720 42.42020 -1.25012 0.87524 0.81738 0.28631 0.25856 0.63652 0 0 0 GNSS virb_vit1_vit9_vite eurefedv(eurefedv)_mantovani15(mantovani15)_pinavaldes22(pinavaldes22)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)
100.23631 38.18434 5.01392 2.24401 0.73048 0.31153 0.19880 0.80697 0 0 0 GNSS g062_qhql hao19(hao19)_hao24(hao24)_li17(li17)_li21(li21)_pan20(pan20)_pan21_vert(pan21_vert)_rui19(rui19)_su19(su19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao23_vert(zhao23_vert)_zheng17(zheng17)
