lon lat veast_eu vnorth_eu vup_itrf14 seast snorth sup covassumed0 covassumed0 covassumed0 sta
39.77558 40.99474 25.36131 13.50509 -0.00394 0.82159 0.86997 0.85650 0 0 0 trab
15.85892 47.92797 21.21708 15.31258 -0.28166 1.12051 1.11793 1.88654 0 0 0 trf2
7.32605 45.73767 20.02366 15.82133 1.51536 1.02683 1.06921 1.39625 0 0 0 ao01
9.13623 45.20296 20.58774 16.43252 -0.45387 0.90833 0.89907 0.97773 0 0 0 pavi
23.00372 40.56682 24.95349 6.94130 -1.44983 0.80602 0.88868 0.86368 0 0 0 aut1
25.18057 39.89722 8.33197 0.03437 0.02516 1.05056 1.27799 0.97998 0 0 0 lemn
18.41386 43.86733 23.06817 15.89259 0.05609 0.83726 0.92254 1.32704 0 0 0 srjv
11.33687 46.49886 20.31448 16.12320 1.44057 0.85226 0.84270 0.91636 0 0 0 bzrg
11.57256 48.14743 20.40483 15.86790 0.52668 0.90544 0.89863 0.87958 0 0 0 0256
33.99041 44.41247 24.37946 12.34475 0.04273 0.72537 0.74624 0.83856 0 0 0 crao
12.69977 42.95507 21.19472 17.43869 0.05922 1.00530 1.04664 1.04281 0 0 0 fol1
12.58218 44.04834 22.63563 18.74198 -0.58516 1.09428 1.85172 0.97334 0 0 0 itr2
9.40693 45.85729 20.03322 16.14712 0.51149 1.17873 0.85050 0.99640 0 0 0 lec1
11.11752 46.09205 20.64271 16.86322 0.38549 0.97084 1.12197 0.77263 0 0 0 tntn
12.25403 45.66255 20.65760 17.48509 -0.00599 0.86839 0.86669 0.71525 0 0 0 trev
21.78706 38.28481 7.94344 -6.37372 -0.59547 0.95887 1.12381 1.95447 0 0 0 012a
28.98740 40.86757 21.14008 12.73696 0.57077 1.30040 1.11140 1.83274 0 0 0 ysst
97.92109 39.85419 30.36576 -2.69231 0.42248 0.65742 0.59828 0.58175 0 0 0 g137
10.23268 45.56492 20.54852 16.26413 0.79545 1.10599 1.09961 1.22796 0 0 0 brea
13.25302 46.03743 20.70176 17.54362 -0.20133 1.07198 1.08082 0.86418 0 0 0 udi1
